District,State,Agency_ID,Students,TOTALREV,TLOCREV,TSTREV,TFEDREV,TOTALEXP,TOTALREV_PUPIL,TLOCREV_PUPIL,TSTREV_PUPIL,TFEDREV_PUPIL
NYC CHANCELLOR'S OFFICE,New York,3620580,981667,27448356000,15141245000,10568010000,1739101000,29620098000,27961,15424,10765,1772
LOS ANGELES UNIFIED,California,622710,639337,10329380000,2506605000,6731375000,1091400000,9686165000,16156,3921,10529,1707
CITY OF CHICAGO SD 299,Illinois,1709930,387311,5272668000,2849460000,1630788000,792420000,5963039000,13614,7357,4211,2046
DADE,Florida,1200390,357579,3590773000,2058336000,1100918000,431519000,3654722000,10042,5756,3079,1207
CLARK COUNTY SCHOOL DISTRICT,Nevada,3200060,325990,3220684000,1938496000,1004560000,277628000,3081183000,9880,5946,3082,852
BROWARD,Florida,1200180,269098,2607068000,1323515000,1005261000,278292000,2652891000,9688,4918,3736,1034
HOUSTON ISD,Texas,4823640,215627,2480131000,1842859000,343314000,293958000,2736150000,11502,8547,1592,1363
HILLSBOROUGH,Florida,1200870,211923,2098358000,732112000,1057819000,308427000,2172984000,9902,3455,4992,1455
ORANGE,Florida,1201440,196951,2253016000,1268876000,764159000,219981000,2123738000,11439,6443,3880,1117
PALM BEACH,Florida,1201500,189322,2038576000,1374562000,476638000,187376000,1968247000,10768,7260,2518,990
FAIRFAX CO PBLC SCHS,Virginia,5101260,185828,2733933000,2005304000,602568000,126061000,2911340000,14712,10791,3243,678
HAWAII DEPARTMENT OF EDUCATION,Hawaii,1500030,181995,3030519000,59027000,2710361000,261131000,2733094000,16652,324,14893,1435
GWINNETT COUNTY,Georgia,1302550,176052,1893150000,830720000,919702000,142728000,1830204000,10753,4719,5224,811
DALLAS ISD,Texas,4816230,158604,1896322000,1175354000,433807000,287161000,1890331000,11956,7411,2735,1811
WAKE COUNTY SCHOOLS,North Carolina,3704720,157839,1380356000,432634000,838578000,109144000,1686851000,8745,2741,5313,691
MONTGOMERY COUNTY PUBLIC SCHOOLS,Maryland,2400480,156380,2898647000,1952053000,833877000,112717000,2699290000,18536,12483,5332,721
